date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:30:08	12912/12912	---M--	200	added ('OK')	image/png	etag:%22f5e4ece19295fae1b6536767af01ba4a%22	https://kishu.com/images/logo-kishu-new-white2x-1.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/logo-kishu-new-white2x-1.png	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:12	159848/159848	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2229cf2b22016b4ea38f931a800b088bca%22	https://kishu.com/fonts/POPPINS-LIGHT.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-LIGHT.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:12	151340/151340	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%228ec1e688d90068cddbb29c9fbac5fa4d%22	https://kishu.com/fonts/POPPINS-BLACK.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-BLACK.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:15	153900/153900	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%225a872eafb6e32676c4b30e736a94b7e2%22	https://kishu.com/fonts/POPPINS-BOLD.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-BOLD.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:15	152712/152712	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%223525af44bb72f0e70392e1cbfab37715%22	https://kishu.com/fonts/POPPINS-EXTRABOLD.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-EXTRABOLD.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:16	3554765/3554765	---M--	200	added ('OK')	image/gif	etag:%225c9c4ea4768cbc805f2cf69a6a50e3ec%22	https://kishu.com/images/V1.gif	C:/My%20Web%20Sites/Kishu/kishu.com/images/V1.gif	(from https://kishu.com/)
03:30:17	186124/186124	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22c29ea6cadc05fd70f23f247fd9549c43%22	https://kishu.com/fonts/POPPINS-EXTRALIGHTITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-EXTRALIGHTITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:17	161404/161404	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2283d3b3b51de409e8cd3ab14334106768%22	https://kishu.com/fonts/POPPINS-EXTRALIGHT.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-EXTRALIGHT.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:18	2382340/2382340	---M--	200	added ('OK')	image/gif	etag:%2233d6076e38d1ecf9fda694b2e8b8420f%22	https://kishu.com/images/08-v2-big.gif	C:/My%20Web%20Sites/Kishu/kishu.com/images/08-v2-big.gif	(from https://kishu.com/)
03:30:18	171544/171544	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222a4e90afd9c6be5c05da6859599eb813%22	https://kishu.com/fonts/POPPINS-BLACKITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-BLACKITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:20	176552/176552	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2243f5ed7485dd802d87e9ca3a3ff4e970%22	https://kishu.com/fonts/POPPINS-BOLDITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-BOLDITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:20	173868/173868	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%224668eb1d15da3d232e6ce727b39bee39%22	https://kishu.com/fonts/POPPINS-EXTRABOLDITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-EXTRABOLDITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:21	184420/184420	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22499d183c441a82ddf51ddc3a828bc450%22	https://kishu.com/fonts/POPPINS-LIGHTITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-LIGHTITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:21	181972/181972	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221843634a62c731d1fba0c1ee9704facc%22	https://kishu.com/fonts/POPPINS-ITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-ITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:22	156480/156480	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22f4ee17b77b0bcdd7330de72a8695014f%22	https://kishu.com/fonts/POPPINS-MEDIUM.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-MEDIUM.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
